idCarpeta,Dia,Mes,Año,Fecha,Hora,Delito,CalidadJuridica,Categoria,Colonia,Alcalia,Sexo,Edad,TipoPersona,longitud,latitud
8452659.0,6.0,Junio,2019.0,15/06/2019,41400.0,DAÑO EN PROPIEDAD AJENA INTENCIONAL A BIENES INMUEBLES,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SAN MARCOS (SANTA ANA TLACOTENCO),MILPA ALTA,Masculino,54.0,FISICA,-98.99667,19.17167
8453026.0,6.0,Junio,2019.0,16/06/2019,72420.0,ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SAN LORENZO TLACOYUCAN,MILPA ALTA,Masculino,44.0,FISICA,-99.02949,19.18019
8454398.0,5.0,Mayo,2019.0,19/05/2019,57600.0,VIOLENCIA FAMILIAR,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SAN MIGUEL (SAN PABLO OZTOTEPEC),MILPA ALTA,Femenino,,FISICA,-99.0758,19.18462
8454460.0,6.0,Junio,2019.0,17/06/2019,54000.0,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,VICTIMA Y DENUNCIANTE,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,SAN JOSÉ (SANTA ANA TLACOTENCO),MILPA ALTA,Femenino,37.0,FISICA,-99.00076,19.17765
8432945.0,5.0,Mayo,2019.0,22/05/2019,35400.0,PERDIDA DE LA VIDA POR SUICIDIO,CADAVER,HECHO NO DELICTIVO,LA LUZ (VILLA MILPA ALTA),MILPA ALTA,Masculino,20.0,FISICA,-99.02802,19.18721
8433254.0,5.0,Mayo,2019.0,21/05/2019,63000.0,AMENAZAS,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SAN AGUSTIN (VILLA MILPA ALTA),MILPA ALTA,Masculino,47.0,FISICA,-99.01413,19.18356
8434015.0,4.0,Abril,2019.0,02/04/2019,50400.0,ROBO DE OBJETOS,OFENDIDO,DELITO DE BAJO IMPACTO,SANTA MARTHA (VILLA MILPA ALTA),MILPA ALTA,Masculino,44.0,FISICA,-99.0267,19.19686
8434423.0,4.0,Abril,2019.0,22/04/2019,36000.0,TENTATIVA DE EXTORSION,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SANTA MARTHA (VILLA MILPA ALTA),MILPA ALTA,Masculino,,FISICA,-99.02671,19.1942
8434694.0,5.0,Mayo,2019.0,24/05/2019,11400.0,ROBO A CASA HABITACION SIN VIOLENCIA,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SANTA CRUZ (VILLA MILPA ALTA),MILPA ALTA,Femenino,48.0,FISICA,-99.02114,19.19911
8435630.0,5.0,Mayo,2019.0,25/05/2019,28800.0,VIOLENCIA FAMILIAR,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,TULA (SAN PEDRO ATOCPAN),MILPA ALTA,Femenino,30.0,FISICA,-99.0502,19.20335
